CustomerKey,GeographyKey,CustomerAlternateKey,Title,FirstName,MiddleName,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,FrenchEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,SpanishEducation,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender
11238,232,AW00011238,NULL,Mayra,NULL,1119 Elderwood Dr.,#3,1 (11) 500 555-0116,00:00.0,0-1 Miles,Bac + 4,Management,Gestión,Direction,0,4,mayra9@adventure-works.com,130000,2,3,Bachelors,Licenciatura,Prasad,0,00:00.0,S,NULL,F
12998,8,AW00012998,NULL,Mayra,NULL,2098 Crown Ct,# 235,1 (11) 500 555-0111,00:00.0,0-1 Miles,Bac + 4,Professional,Profesional,Cadre,0,1,mayra14@adventure-works.com,60000,2,2,Bachelors,Licenciatura,Mehta,0,00:00.0,S,NULL,F
13454,337,AW00013454,NULL,Benjamin,NULL,2039 Doon Cr,# 120,153-555-0127,00:00.0,0-1 Miles,Bac + 4,Management,Gestión,Direction,1,3,benjamin22@adventure-works.com,130000,1,3,Bachelors,Licenciatura,Griffin,0,00:00.0,M,NULL,M
15166,311,AW00015166,NULL,Nina,NULL,9770 Fraga Court,#91,786-555-0115,00:00.0,0-1 Miles,Bac + 4,Management,Gestión,Direction,1,4,nina19@adventure-works.com,130000,2,3,Bachelors,Licenciatura,Goel,0,00:00.0,M,NULL,F
15783,31,AW00015783,NULL,David,NULL,7334 Sterling Hill,Unit G12,1 (11) 500 555-0116,00:00.0,0-1 Miles,Bac + 4,Professional,Profesional,Cadre,1,0,david52@adventure-works.com,90000,3,3,Bachelors,Licenciatura,Alexander,0,00:00.0,M,NULL,M
16011,62,AW00016011,NULL,Maria,NULL,3469 Relief Valley Ct.,# 22,459-555-0122,00:00.0,0-1 Miles,Bac + 4,Management,Gestión,Direction,1,4,maria8@adventure-works.com,130000,2,3,Bachelors,Licenciatura,Murphy,0,00:00.0,M,NULL,F
18373,536,AW00018373,NULL,Stephanie,NULL,7916 Valley Ave.,# 434,761-555-0113,00:00.0,0-1 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,0,stephanie53@adventure-works.com,50000,1,1,Bachelors,Licenciatura,Roberts,0,00:00.0,M,NULL,F
18610,311,AW00018610,NULL,Bailey,NULL,2098 Crown Ct,# 235,642-555-0137,00:00.0,0-1 Miles,Bac + 4,Professional,Profesional,Cadre,0,2,bailey14@adventure-works.com,70000,4,2,Bachelors,Licenciatura,Rivera,0,00:00.0,S,NULL,F
21300,322,AW00021300,NULL,Kaylee,NULL,9716 Aloe Vera Rd.,# 1,680-555-0155,00:00.0,0-1 Miles,Bac + 4,Management,Gestión,Direction,1,1,kaylee19@adventure-works.com,130000,1,3,Bachelors,Licenciatura,Morgan,0,00:00.0,M,NULL,F
21592,623,AW00021592,NULL,Christina,NULL,9206 Listing Ct.,Unit F,972-555-0157,00:00.0,0-1 Miles,Bac + 4,Skilled Manual,Obrero especializado,Technicien,1,1,christina19@adventure-works.com,40000,1,1,Bachelors,Licenciatura,Reed,0,00:00.0,M,NULL,F
